Androscoggin	172	803
Aroostook	339	88
Cumberland	151	548
Franklin	170	377
Hancock	379	433
Kennebec	213	454
Knox	274	514
Lincoln	253	525
Oxford	124	458
Penobscot	350	297
Piscataquis	276	215
Sagadahoc	216	533
Somerset	188	277
Waldo	275	463
Washington	438	395
York	122	617
